n time_ns
2 250
3 166
4 83
5 125
6 84
7 125
8 125
9 167
10 125
11 167
12 166
13 167
14 166
15 167
16 208
17 166
18 208
19 250
20 250
21 250
22 250
23 250
24 292
25 250
26 291
27 250
28 334
29 333
30 500
31 500
32 542
33 500
34 541
35 542
36 541
37 625
38 708
39 625
40 625
41 667
42 625
43 750
44 625
45 667
46 750
47 667
48 667
49 667
50 792
51 667
52 750
53 708
54 708
55 750
56 708
57 750
58 792
59 750
60 750
61 791
62 792
63 791
64 792
65 791
66 834
67 834
68 833
69 834
70 1083
71 1042
72 1042
73 1083
74 917
75 958
76 958
77 958
78 1000
79 1042
80 1125
81 1000
82 1000
83 1041
84 1042
85 1000
86 1250
87 1250
88 1084
89 1042
90 1250
91 1250
92 1083
93 1083
94 1167
95 1083
96 1166
97 1209
98 1125
99 1167
100 1125
