n  time_ns
1 166
2 125
3 125
4 125
5 167
6 125
7 125
8 166
9 83
10 83
11 125
12 125
13 125
14 125
15 125
16 125
17 83
18 83
19 125
20 125
21 125
22 125
23 167
24 125
25 125
26 125
27 167
28 125
29 166
30 167
31 167
32 167
33 167
34 167
35 167
36 166
37 250
38 167
39 167
40 167
41 209
42 208
43 209
44 250
45 250
46 250
47 209
48 250
49 250
50 292
51 250
52 250
53 292
54 250
55 250
56 250
57 292
58 292
59 291
60 291
61 292
62 333
63 292
64 375
65 375
66 375
67 334
68 292
69 291
70 333
71 375
72 333
73 292
74 417
75 292
76 334
77 292
78 334
79 334
80 417
81 292
82 375
83 292
84 292
85 334
86 334
87 333
88 333
89 333
90 333
