n 	 time(ns)
3 250
4 125
5 83
6 42
7 83
8 83
9 83
10 84
11 83
12 83
13 83
14 125
15 125
16 83
17 125
18 83
19 125
20 125
21 84
22 84
23 125
24 41
25 166
26 125
27 167
28 125
29 167
30 166
31 167
32 166
33 167
34 167
35 208
36 209
37 208
38 83
39 208
40 167
41 83
42 167
43 125
44 208
45 209
46 83
47 250
48 291
49 250
50 250
51 209
52 208
53 291
54 250
55 250
56 166
57 292
58 291
59 292
60 250
61 292
62 83
63 125
64 292
65 292
66 250
67 292
68 208
69 208
70 125
71 292
72 375
73 208
74 125
75 291
76 417
77 83
78 292
79 166
80 42
81 125
82 250
83 166
84 250
85 291
86 41
87 83
88 334
89 209
90 250
91 125
92 292
93 209
94 208
95 375
96 375
97 84
98 334
99 125
100 333
