n time_ns
2 375
3 125
4 83
5 83
6 125
7 83
8 83
9 166
10 125
11 125
12 125
13 125
14 125
15 84
16 83
17 125
18 167
19 167
20 125
21 83
22 166
23 83
24 125
25 166
26 166
27 84
28 167
29 125
30 125
31 125
32 167
33 125
34 166
35 125
36 125
37 125
38 167
39 125
40 166
41 125
42 166
43 125
44 125
45 166
46 84
47 125
48 84
49 125
50 167
51 125
52 125
53 167
54 84
55 166
56 167
57 83
58 125
59 167
60 83
61 250
62 167
63 125
64 167
65 166
66 125
67 166
68 125
69 83
70 125
71 84
72 83
73 166
74 125
75 125
76 167
77 84
78 125
79 125
80 84
81 167
82 125
83 125
84 83
85 125
86 125
87 167
88 125
89 166
90 167
91 125
92 125
93 125
94 166
95 125
96 125
97 167
98 125
99 334
100 167
