n time_ns
3 625
4 416
5 250
6 333
7 542
8 500
9 583
10 917
11 792
12 1000
13 1041
14 1083
15 1000
16 1166
17 1334
18 1375
19 1750
20 1709
21 1500
22 1958
23 2084
24 2208
25 2125
26 2625
27 2209
28 2750
29 2250
30 1958
31 1833
32 2333
33 2250
34 2250
35 2791
36 2375
37 2750
38 2542
39 2875
40 3291
41 2917
42 2708
43 2875
44 3833
45 3292
46 3959
47 3750
48 3625
49 4542
50 4333
51 4625
52 4750
53 4666
54 5041
55 4459
56 6375
57 5958
58 5167
59 5333
60 7000
61 5584
62 6917
63 6208
64 6375
65 6000
66 5750
67 6083
68 5125
69 6083
70 6375
71 6833
72 6875
73 7375
74 7334
75 6291
76 7792
77 6708
78 6958
79 7292
80 8667
81 8417
82 8875
83 9167
84 9792
85 10792
86 9292
87 10083
88 10167
89 10625
90 12916
91 10666
92 9250
93 10333
94 10166
95 11417
96 10625
97 12000
98 11666
99 11125
100 12083
