n time_ns
1 125
2 375
3 208
4 292
5 292
6 375
7 334
8 500
9 542
10 625
11 625
12 667
13 958
14 917
15 1083
16 1041
17 1250
18 1333
19 1167
20 1417
21 1417
22 1541
23 1834
24 1875
25 1959
26 1792
27 1833
28 1792
29 2084
30 2167
31 2042
32 2167
33 2250
34 2125
35 2375
36 2458
37 2500
38 2625
39 2750
40 3041
41 2917
42 3125
43 3417
44 3000
45 3292
46 3375
47 3750
48 3458
49 4333
50 4500
51 3791
52 3875
53 4084
54 3417
55 3417
56 3792
57 3791
58 4042
59 3708
60 4125
61 4041
62 4167
63 3958
64 4125
65 4542
66 4542
67 4334
68 4792
69 4500
70 4834
71 5000
72 5000
73 4750
74 5084
75 5208
76 5500
77 5167
78 5542
79 5417
80 5542
81 5334
82 5833
83 5583
84 5666
85 5958
86 6083
87 6250
88 5834
89 6417
90 6208
91 6125
92 7334
93 7875
94 7584
95 8750
96 7167
97 7333
98 7417
99 7625
100 6959
101 7417
102 7500
103 7958
104 7917
105 7625
106 7334
107 9250
108 7916
109 8708
110 7417
111 7750
112 8083
113 10167
114 8583
115 8667
116 7792
117 8584
118 7084
119 7084
120 7750
121 7708
122 8292
123 7416
