n time_ns
3 208
4 667
5 750
6 833
7 1000
8 1750
9 1959
10 2417
11 2042
12 2958
13 3500
14 3833
15 4084
16 4792
17 5459
18 6583
19 6292
20 7625
21 10708
22 5042
23 5750
24 5792
25 6167
26 7209
27 13000
28 9250
29 8291
30 9709
31 10416
32 10291
33 10292
34 10750
35 11584
36 12375
37 12000
38 11583
39 11459
40 14125
41 14708
42 14541
43 14625
44 16833
45 17292
46 17708
47 17166
48 20167
49 20792
50 23584
51 21375
52 25291
53 25125
54 25292
55 25500
56 28375
57 25375
58 27666
59 26875
60 27791
61 29750
62 28416
63 27166
64 31500
65 33667
66 30708
67 35583
68 35417
69 36167
70 38500
71 34917
72 33500
73 36917
74 32708
75 38667
76 73083
77 48500
78 34250
79 30458
80 30916
81 33292
82 36750
83 33083
84 34625
85 41833
86 36708
87 36292
88 41166
89 40917
90 39458
91 41834
92 43542
93 41958
94 44750
95 49709
96 46916
97 49166
98 50084
99 41916
100 50292
