n time_ns selected_jobs
1 1542 1
2 541 2
3 625 1
4 541 2
5 792 2
6 1000 2
7 1125 3
8 1083 2
9 1333 3
10 1083 3
11 1500 1
12 1875 5
13 2000 5
14 1959 5
15 2125 4
16 1542 3
17 1291 3
18 1708 2
19 1875 3
20 2000 4
21 1750 3
22 2167 5
23 1917 3
24 4375 4
25 2583 5
26 2542 3
27 3041 3
28 2833 7
29 3083 4
30 2875 5
31 3125 6
32 3750 6
33 3167 4
34 3292 4
35 3750 6
36 3750 4
37 3916 5
38 4125 6
39 4625 4
40 4875 4
41 4166 7
42 4750 4
43 4666 5
44 4833 5
45 4833 4
46 4750 5
47 4958 5
48 4958 8
49 5250 8
50 5291 6
51 5459 7
52 6291 5
53 5666 7
54 5708 7
55 5709 5
56 6042 8
57 6125 5
58 6125 7
59 5250 5
60 5334 6
61 5750 6
62 5834 6
63 5458 9
64 6625 5
65 6000 7
66 9209 8
67 7041 8
68 6666 6
69 6500 7
70 6750 7
71 6541 8
72 7417 11
73 7000 9
74 7334 9
75 6875 9
76 7667 9
77 7667 8
78 8125 7
79 8166 7
80 8125 7
81 8792 7
82 8167 7
83 8584 8
84 8583 8
85 10125 9
86 8541 7
87 8916 6
88 8667 9
89 9542 7
90 9125 9
91 9666 8
92 8792 10
93 11916 7
94 11458 8
95 10792 7
96 9833 8
97 10417 9
98 12333 8
99 10875 7
100 11208 11
