n time_ns
4 3833
5 3875
6 4250
7 4666
8 6750
9 6791
10 8208
11 7709
12 9583
13 9750
14 12500
15 13959
16 9333
17 8958
18 8250
19 7209
20 10209
21 8000
22 10791
23 12000
24 9709
25 9791
26 10833
27 11583
28 11375
29 13667
30 13125
31 14833
32 15792
33 17625
34 17542
35 15458
36 15084
37 17041
38 22125
39 19042
40 22125
41 17625
42 19375
43 20625
44 20959
45 22084
46 21500
47 20875
48 22583
49 26542
50 30792
51 24584
52 24750
53 24000
54 30208
55 30667
56 31167
57 32416
58 35583
59 29541
60 28208
61 29833
62 33958
63 35417
64 32583
65 38291
66 32500
67 39292
68 35959
69 40958
70 35708
71 33750
72 35708
73 35750
74 38833
75 40417
76 42625
77 41958
78 42708
79 38458
80 42333
81 45208
82 45041
83 48375
84 44125
85 46042
86 42750
87 41542
88 45500
89 44416
90 44375
91 44833
92 47375
93 47792
94 52625
95 50875
96 49167
97 56084
98 54208
99 44167
100 47542
