n time_ns
4 625
5 750
6 958
7 1209
8 1875
9 1916
10 2083
11 2333
12 2834
13 3125
14 3542
15 3875
16 4083
17 3209
18 4084
19 4333
20 3959
21 5291
22 5458
23 5000
24 5833
25 5917
26 7500
27 6875
28 7125
29 7625
30 9125
31 8333
32 9333
33 9750
34 10375
35 10541
36 11333
37 11959
38 12750
39 12875
40 13958
41 13958
42 15458
43 15375
44 16417
45 16791
46 17666
47 18458
48 19166
49 19958
50 20875
51 21208
52 24000
53 19209
54 20167
55 20750
56 22167
57 22125
58 23333
59 24167
60 24917
61 25667
62 26500
63 27375
64 27666
65 28667
66 29375
67 30750
68 31667
69 32334
70 33209
71 34375
72 35167
73 36333
74 37000
75 37750
76 38875
77 39875
78 40917
79 42542
80 43500
81 44000
82 45500
83 46375
84 49458
85 48000
86 49458
87 50917
88 51750
89 52750
90 53209
91 55583
92 55334
93 57292
94 58083
95 59667
96 61417
97 61583
98 63709
99 64792
100 65542
