n time_ns
4 334
5 417
6 500
7 750
8 834
9 1042
10 1417
11 1375
12 1708
13 1875
14 2125
15 2250
16 2750
17 3000
18 4000
19 4125
20 4542
21 4958
22 4708
23 5333
24 5500
25 5708
26 6916
27 6833
28 7084
29 7625
30 8417
31 10166
32 8792
33 8292
34 9333
35 9583
36 9875
37 10292
38 11000
39 11792
40 12208
41 12417
42 12667
43 13459
44 14041
45 14750
46 15250
47 15958
48 16375
49 17542
50 17625
51 18167
52 18917
53 19916
54 20542
55 21250
56 22125
57 22833
58 23416
59 24500
60 25042
61 26250
62 26959
63 27541
64 28542
65 29334
66 30334
67 30875
68 32542
69 33542
70 33750
71 34833
72 35959
73 36917
74 37542
75 38625
76 40083
77 40541
78 41500
79 42792
80 43625
81 47250
82 48875
83 47084
84 48125
85 49166
86 52625
87 50833
88 53041
89 54167
90 54666
91 56750
92 56959
93 59500
94 59875
95 60875
96 62084
97 63583
98 64625
99 57625
100 58208
